"service","messageFamily","albumIdentifier","category","categoryLabel","originRelease","finalPublicationRelease","effectiveSourceRelease","originBaseMessage","originBasis","priorFamilyBaseMessage","finalBaseMessage","originUGVersion","finalUGVersion","baseVersionChanged","ugVersionChanged","xsdStructureChanged","totalDelta","delta_pathsAdded","delta_pathsRemoved","delta_pathsChanged","delta_simpleTypesAdded","delta_simpleTypesRemoved","delta_simpleTypesChanged","delta_complexTypesAdded","delta_complexTypesRemoved","delta_complexTypesChanged","matchedCRs","crRationale","priorLocalArchiveStatus","priorLocalArchiveLatestRelease","priorLocalArchiveEvidence","priorLocalArchiveCount","mystandardsHistoryStatus","mystandardsHistoryType","mystandardsHistoryEvidence","mystandardsHistoryCount","effectiveNote"
"RTGS","pacs.009.001","RTGS_pacs_guidelines","same_iso_ug_schema_changed","Same ISO version, UG/schema changed","R2026.JUN","R2026.NOV","R2026.NOV","pacs.009.001.08","R2026.JUN package","","pacs.009.001.08","156","158","False","True","True","127","0","2","98","0","0","0","0","9","18","T2-0170-SYS(11); T2-0156-UDFS(6); T2-0135-SYS(2)","T2-0170-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2-0156-UDFS: release match; message/schema CR cue | T2-0135-SYS: release match","","","","0","","","","0","UG version changed, XSD structure changed while the ISO base message version stays the same."
"RTGS","pacs.010.001","RTGS_pacs_guidelines","same_iso_ug_schema_changed","Same ISO version, UG/schema changed","R2026.JUN","R2026.NOV","R2026.NOV","pacs.010.001.03","R2026.JUN package","","pacs.010.001.03","156","158","False","True","True","18","0","0","16","0","0","0","0","0","2","T2-0170-SYS(11); T2-0156-UDFS(6); T2-0135-SYS(2)","T2-0170-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2-0156-UDFS: release match; message/schema CR cue | T2-0135-SYS: release match","","","","0","","","","0","UG version changed, XSD structure changed while the ISO base message version stays the same."
"RTGS","admi.004.001","RTGS_Broadcast","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","admi.004.001.02","R2026.JUN package","","admi.004.001.02","26","26","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","admi.005.001","RTGS_ReportQueryRequest","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","admi.005.001.02","R2026.JUN package","","admi.005.001.02","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","admi.007.001","RTGS_ReceiptAcknowledgement","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","admi.007.001.01","R2026.JUN package","","admi.007.001.01","47","47","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","asinitiationstatus.pain.998","RTGS Ancillary System","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","asinitiationstatus.pain.998.001.01","R2026.JUN package","","asinitiationstatus.pain.998.001.01","71","71","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","astransferinitiation.pain.998","RTGS Ancillary System","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","astransferinitiation.pain.998.001.01","R2026.JUN package","","astransferinitiation.pain.998.001.01","71","71","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","astransfernotice.pain.998","RTGS Ancillary System","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","astransfernotice.pain.998.001.01","R2026.JUN package","","astransfernotice.pain.998.001.01","71","71","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.003.001","RTGS_GetAccount_ReturnAccount","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.003.001.08","R2026.JUN package","","camt.003.001.08","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.004.001","RTGS_GetAccount_ReturnAccount","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.004.001.10","R2026.JUN package","","camt.004.001.10","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.005.001","RTGS_GetTransaction_ReturnTransaction","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.005.001.11","R2026.JUN package","","camt.005.001.11","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.006.001","RTGS_GetTransaction_ReturnTransaction","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.006.001.11","R2026.JUN package","","camt.006.001.11","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.007.001","RTGS_ModifyTransaction","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.007.001.10","R2026.JUN package","","camt.007.001.10","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.009.001","RTGS_Limit","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.009.001.08","R2026.JUN package","","camt.009.001.08","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.010.001","RTGS_Limit","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.010.001.09","R2026.JUN package","","camt.010.001.09","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"RTGS","camt.011.001","RTGS_Limit","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","camt.011.001.08","R2026.JUN package","","camt.011.001.08","2","2","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
